ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	NOTE
19480	Ache	ABOVE	jabu	jabu	j a + b u	j a + b u	2008	278 281	DEMONSTRATIVE CONDITIONAL		
20388	Mawe	ABOVE	upi	upi	u p i	- u p i	1	35	ABOVE		
20449	Old_Guarani	ABOVE	ɨβate / ʔar / osé / osep	ʔar	ʔ a r	ʔ a r -	1	3	ABOVE		
20479	Old_Guarani	ABOVE	ɨβate / ʔar / osé / osep	osé	o s é	o s é	2822	533	ABOVE		
20482	Old_Guarani	ABOVE	ɨβate / ʔar / osé / osep	osepe	o s e + p e	o s e + p e	2822	533 534	ABOVE ?		
21741	Zoro	ABOVE	tara	tara	t a r a	t a r a	1	3	ABOVE		
22351	Tupari	ABOVE	otere	otere	o t e r e	o t e r e -	2745	979	ABOVE		
23539	Açuã Tupi	ABOVE	batɛ	batɛ	b a + t ɛ	- - b a + t ɛ	2	2 7	LOW DIFFERENT		
24042	LGA XVIII	ABOVE	ibaté	ibaté	i b a + t é	- i b a + t é	2	2 7	LOW DIFFERENT		
2	Karo	AFTER	kanə̃j̃	kanə̃j̃	k a n ə̃ j̃	k a n ə̃ j̃	18	72	AFTER	depoisde	
1160	Wayoro	AFTER	karemõ	karemõ	k a r e m õ	- - - k a r e m õ	3983	2329	AFTER	depoisde	
1480	Tupari	AFTER	pe	pe	p e	- - p - e - - - - -	8	885	AFTER	depoisde	
1870	Akuntsu	AFTER	eɾape	eɾape	e ɾ a + p e	- - - - e ɾ a - - + - - p - e - - - - -	8	14724 885	SLEEP LOCATIVE	depoisde	
2251	Mekens	AFTER	kikitú	kikitú	k i k i t ú	k i k i t ú -	3980	1575	AFTER	depoisde	
2708	Gavião	AFTER	pí / abi	pí	p í	- - p - í - -	12	70	AFTER	depoisde	
2709	Gavião	AFTER	pí / abi	abi	a b i	- a b - i - -	12	70	AFTER	depoisde	
4225	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	amɨk	a m ɨ k	- a m ɨ k	4183	2551	AFTER	depoisde	
4226	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	mãsog	m ã s o g	m ã - - s o g	16	76	AFTER	depoisde	
4227	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	mõrasõg	m õ r a s õ g	m õ r a s õ g	16	76	AFTER	depoisde	
4228	Karitiana	AFTER	amɨk / mãsog / mõrasõg / mɨɨ	mɨɨ	m ɨː	- - m ɨː -	4183	2551	AFTER	depoisde	
4689	Xipaya	AFTER	táde	táde	t á d e	t á d e - -	11	71	AFTER	depoisde7	
5019	Juruna	AFTER	táde / duháhé / tʃihé	táde	t á d e	t á d e - -	11	71	AFTER	depoisde7	
5020	Juruna	AFTER	táde / duháhé / tʃihé	duháhé	d u h á h é	d u h á h é	11	71	AFTER	depoisde7	
5021	Juruna	AFTER	táde / duháhé / tʃihé	tʃihé	tʃ i h é	tʃ i h é - -	11	71	AFTER	depoisde7	
5352	Mundurukú	AFTER	ŋəjdʒom / ŋebədʒe	ŋəjdʒom	ŋ ə j dʒ o m	ŋ ə j - dʒ o m	4185	730	AFTER	depoisde	
5353	Mundurukú	AFTER	ŋəjdʒom / ŋebədʒe	ŋebədʒe	ŋ e b ə + dʒ e	ŋ e b ə - - - + - - - - dʒ e -	4185	730 68	AFTER FUTURE	depoisde	
6036	Mawe	AFTER	hawɨj / ẽ	hawɨj	h a w ɨi	h a w ɨi	13	2554	AFTER	depoisde5	
6037	Mawe	AFTER	hawɨj / ẽ	ẽ	ẽ	- - - - - - ẽ - -	8	65	AFTER	depoisde5	
6706	Parakana	AFTER	ʃowe	ʃowe	ʃ o w e	ʃ o w e -	3984	2338	AFTER	depoisde5	
7627	Tapirape	AFTER	ãʔẽre / ire / rewe	ãʔẽre	ã ʔ ẽ r e	- - ã ʔ ẽ r e - -	8	65	AFTER	depoisde1	
7628	Tapirape	AFTER	ãʔẽre / ire / rewe	ire	i r e	- - - - i r e - -	8	65	AFTER	depoisde1	
7629	Tapirape	AFTER	ãʔẽre / ire / rewe	rewe	r e w e	- - - - - r e w e	8	65	AFTER	depoisde1	
7899	Tembe	AFTER	re / rire	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
7900	Tembe	AFTER	re / rire	rire	r i r e	- - - r i r e - -	8	65	AFTER	depoisde1	
8232	Guajajara	AFTER	ire	ire	i r e	- - - - i r e - -	8	65	AFTER	depoisde1	
8568	Apiaka	AFTER	re	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
8816	Parintintin	AFTER	aẽre / re	aẽre	a ẽ r e	- - a - ẽ r e - -	8	65	AFTER	depoisde1	
8817	Parintintin	AFTER	aẽre / re	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
9182	Amondawa	AFTER	aẽre / re	aẽre	a ẽ r e	- - a - ẽ r e - -	8	65	AFTER	depoisde1	
9183	Amondawa	AFTER	aẽre / re	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
9483	Tenharim	AFTER	aẽre / re	aẽre	a ẽ r e	- - a - ẽ r e - -	8	65	AFTER	depoisde1	
9484	Tenharim	AFTER	aẽre / re	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
9948	Urueuwauwau	AFTER	aẽre / re	aẽre	a ẽ r e	- - a - ẽ r e - -	8	65	AFTER	depoisde1	
9949	Urueuwauwau	AFTER	aẽre / re	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
10298	Kayabi	AFTER	ewiri / ire	ewiri	e w i r i	- - e w i r i - -	8	65	AFTER	depoisde1	
10299	Kayabi	AFTER	ewiri / ire	ire	i r e	- - - - i r e - -	8	65	AFTER	depoisde1	
10532	Arawete	AFTER	riri	riri	r i r i	- - - r i r i - -	8	65	AFTER	depoisde1	
11245	Teko	AFTER	kor / kobete	kor	k o r	k o r - - - -	14	2326	AFTER	depoisde4	
11246	Teko	AFTER	kor / kobete	kobete	k o b e t e	k o b e t e -	14	2326	AFTER	depoisde4	
11616	Wayampi	AFTER	ajawire / lile	ajawire	a j a + w i r e	a j a - - - - - - + - - - w i r e - -	55	2328 65	? AFTER	depoisde1	
11617	Wayampi	AFTER	ajawire / lile	lile	l i l e	- - - l i l e - -	8	65	AFTER	depoisde1	
12021	Zoe	AFTER	adire	adire	a d i r e	- - a d i r e - -	8	65	AFTER	depoisde	
12263	Kaapor	AFTER	ajameʔẽ ke / aja	ajameʔẽ ke	a j a + m e ʔ ẽ	a j a - - - - - - + m e ʔ ẽ	55	2328 16	? THING	depoisde	
12853	Kamajura	AFTER	riré	riré	r i r é	- - - r i r é - -	8	65	AFTER	depoisde1	
13130	Asurini_Xingu	AFTER	arire	arire	a r i r e	- - a r i r e - -	8	65	AFTER	depoisde1	
13610	Tupinamba	AFTER	ɾiɾé / ɾojɾé / ɾe	ɾiɾé	ɾ i ɾ é	- - - ɾ i ɾ é - -	8	65	AFTER	depoisde1	
13611	Tupinamba	AFTER	ɾiɾé / ɾojɾé / ɾe	ɾojɾé	ɾ oi ɾ é	- - - ɾ oi ɾ é - -	8	65	AFTER	depoisde1	
13612	Tupinamba	AFTER	ɾiɾé / ɾojɾé / ɾe	ɾe	ɾ e	- - - - - ɾ e - -	8	65	AFTER	depoisde1	
14017	Nheengatu	AFTER	rie / arirewã	rie	r ie	- - - - - r ie - -	8	65	AFTER	depoisde1	
14018	Nheengatu	AFTER	rie / arirewã	arirewã	a r i r e w ã	- - a r i r e w ã	8	65	AFTER	depoisde1	
14633	Yuki	AFTER	dérekja	dérekja	d é r e k ia	d é r e k ia	19	75	AFTER	depoisde3	
14877	Guarayo	AFTER	re	re	r e	- - - - - r e - -	8	65	AFTER	depoisde1	
15183	Siriono	AFTER	akere / ande	akere	a k e r e	- - a k e r e - -	8	65	AFTER	depoisde	
15184	Siriono	AFTER	akere / ande	ande	a n/d e	- a n/d e - -	11	71	AFTER	depoisde	
15512	Warazu	AFTER	íre	íre	í r e	- - - - í r e - -	8	65	AFTER	depoisde1	
15755	Chiriguano	AFTER	hãema / hawoj / hokogwi	hãema	h ãe + m a	h ãe - - - + - - m a -	10	66 67	AFTER ?	depoisde2	
15756	Chiriguano	AFTER	hãema / hawoj / hokogwi	hawoj	h a + w o j	h a + w o j	10	66 74	AFTER ?	depoisde2	
15757	Chiriguano	AFTER	hãema / hawoj / hokogwi	hokogwi	h o k o + gʷ i	h o k o - + gʷ i -	10	66 69	AFTER ?	depoisde2	
16133	Mbya	AFTER	rire	rire	r i r e	- - - r i r e - -	8	65	AFTER	depoisde1	
16492	Guarani	AFTER	riré	riré	r i r é	- - - r i r é - -	8	65	AFTER	depoisde1	
16825	Old_Guarani	AFTER	riré	riré	r i r é	- - - r i r é - -	8	65	AFTER	depoisde1	
17399	Xeta	AFTER	ajre	ajre	ai r e	- - - - ai r e - -	8	65	AFTER	depoisde1	
17631	Kaiowa	AFTER	riré	riré	r i r é	- - - r i r é - -	8	65	AFTER	depoisde1	
17847	Tapiete	AFTER	hama / ma	hama	h a + m a	h a - - - + - - m a -	10	66 67	? AFTER	depoisde2	
17848	Tapiete	AFTER	hama / ma	ma	m a	- - m a -	10	67	AFTER	depoisde2	
18362	Omagua	AFTER	isakapɨrɨ / rasakapɨrɨ	isakapɨrɨ	i s a k a p ɨ r ɨ	- i s a k a p ɨ r ɨ	15	73	AFTER	depoisde	Woman's speech
18363	Omagua	AFTER	isakapɨrɨ / rasakapɨrɨ	rasakapɨrɨ	r a s a k a p ɨ r ɨ	r a s a k a p ɨ r ɨ	15	73	AFTER	depoisde	Man's speech
18642	Kokama	AFTER	jantsui / jaepetsui / riantsui / raepetsui	jantsui	j a n ts ui	j a - - n ts - ui -	9	68	AFTER	depoisde	Woman's speech
18643	Kokama	AFTER	jantsui / jaepetsui / riantsui / raepetsui	jaepetsui	j ae p e ts ui	j ae p e ts - ui -	9	68	AFTER	depoisde	Woman's speech
18644	Kokama	AFTER	jantsui / jaepetsui / riantsui / raepetsui	riantsui	r ia n ts ui	r ia - - n ts - ui -	9	68	AFTER	depoisde	Man's speech
18645	Kokama	AFTER	jantsui / jaepetsui / riantsui / raepetsui	raepetsui	r ae p e ts ui	r ae p e ts - ui -	9	68	AFTER	depoisde	Man's speech
19481	Ache	AFTER	gobu	gobu	g o + b u	g o + b u	2013	280 281	AFTER CONDITIONAL		
19585	Guaja	AFTER	nẽ	nẽ	n ẽ	- - - - - n ẽ - -	8	65	AFTER		
20680	Aweti	AFTER	tiwo / antiwari	tiwo	t i w o	- - t i w o - -	4184	2553	AFTER		
20707	Cinta-Larga	AFTER	jappi	jappi	j a p p i	j a p p i	12	70	AFTER		
20762	Aweti	AFTER	tiwo / antiwari	antiwari	a n t i + w a r i	a n t i + w a r i	2855	599 3294	AFTER MODALITY		
21751	Kaapor	AFTER	ajameʔẽ ke / aja	aja	a j a	a j a - - - - - -	55	2328	AFTER		
22721	Warazu	AFTER	kúire	kúire	k ú + i r e	k ú + - - - - i r e - -	20	16785 65	THIS AFTER		
24043	LGA XVIII	AFTER	reirẽ	reirẽ	r ei r ẽ	- - - r ei r ẽ - -	8	65	AFTER		
24193	Surui-Paiter	AFTER	èpité	èpité	è p i t é	- è p i t é	12	70	AFTER		
3	Karo	AGOUTI	wakãja	wakãja	w a k + ã j a	w a k - - - + ã j a	821	86 150	AGOUTI TOOTH	cutia2	
368	Purubora	AGOUTI	βakĩĩ	βakĩĩ	β a k ĩː	β a k ĩː - -	821	86	AGOUTI	cutia2	
625	Ntogapid-Itogapuk	AGOUTI	mãkaiã	mãkaiã	m ã k ai ã	m ã k ai - ã	821	86	AGOUTI	cutia2	
711	Ramarama	AGOUTI	mãkaiã	mãkaiã	m ã k ai ã	m ã k ai - ã	821	86	AGOUTI	cutia2	
810	Makurap	AGOUTI	mãkɨ̃ja	mãkɨ̃ja	m ã k ɨ̃ + j a	m ã k ɨ̃ - - + - j a	821	86 150	AGOUTI TOOTH	cutia2	
1161	Wayoro	AGOUTI	ŋgʷakĩjã	ŋgʷakĩjã	n/gʷ a k ĩ + j ã	n/gʷ a k - - ĩ + - j ã	821	86 150	AGOUTI TOOTH	cutia2	
1481	Tupari	AGOUTI	takama	takama	t a k a m a	t a k a m a	828	87	AGOUTI	cutia2	
1871	Akuntsu	AGOUTI	pakãja	pakãja	p a k + ã j a	p a k - - + ã j a	821	11879 150	PACA TOOTH	cutia2	
2252	Mekens	AGOUTI	mãkɨ̃jã	mãkɨ̃jã	m ã k ɨ̃ + j ã	m ã k - - ɨ̃ + - j ã	821	86 150	AGOUTI TOOTH	cutia2	
2710	Gavião	AGOUTI	βaakĩĩ	βaakĩĩ	β aː k + ĩː	β aː k - - - + - ĩː -	821	86 150	AGOUTI TOOTH	cutia2	
3392	Arua	AGOUTI	βakĩĩ	βakĩĩ	β a k + ĩː	β a k - - - + - ĩː -	821	86 150	AGOUTI TOOTH	cutia2	
3608	Matanau	AGOUTI	wakɨ̃	wakɨ̃	w a k + ɨ̃	w a k - - - + - ɨ̃ -	821	86 150	AGOUTI TOOTH	cutia2	
3717	Zoro	AGOUTI	βakĩĩ	βakĩĩ	β a k + ĩː	β a k - - - + - ĩː -	821	86 150	AGOUTI TOOTH	cutia2	
3893	Surui-Paiter	AGOUTI	wakĩĩ	wakĩĩ	w a k + ĩː	w a k - - - + - ĩː -	821	86 150	AGOUTI TOOTH	cutia2	
4229	Karitiana	AGOUTI	mɨ̃no	mɨ̃no	m ɨ̃ n o	m ɨ̃ n o	911	90	AGOUTI	cutia4	
4497	Arikem	AGOUTI	mundá	mundá	m u n/d á	m u n/d á	911	90	AGOUTI	cutia4	
4690	Xipaya	AGOUTI	kuzi	kuzi	k u z i	- k u - z i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
5022	Juruna	AGOUTI	akulʒi	akulʒi	a k u l ʒ i	a k u l ʒ i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
5354	Mundurukú	AGOUTI	mədí	mədí	m ə d í	m ə d í	900	89	AGOUTI	cutia3	
5739	Kuruaya	AGOUTI	máli	máli	m á l i	m á l i	900	89	AGOUTI	cutia3	
6038	Mawe	AGOUTI	akuri	akuri	a k u r i	a k u - r i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
6410	Aweti	AGOUTI	akuʐuʔjɨt	akuʐuʔjɨt	a k u ʑ u ʔ j ɨ t	a k u - ʑ u ʔ j ɨ t	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
6707	Parakana	AGOUTI	akoʃi	akoʃi	a k o ʃ i	a k o - ʃ i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
7296	Surui_Aikewara	AGOUTI	akuti	akuti	a k u t i	a k u - t i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
7630	Tapirape	AGOUTI	ãkoʃi	ãkoʃi	ã k o ʃ i	ã k o - ʃ i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
7901	Tembe	AGOUTI	akuti	akuti	a k u t i	a k u - t i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
8233	Guajajara	AGOUTI	akuʃi	akuʃi	a k u ʃ i	a k u - ʃ i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
8569	Apiaka	AGOUTI	akuʃi	akuʃi	a k u ʃ i	a k u - ʃ i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
8818	Parintintin	AGOUTI	akutia	akutia	a k u t ia	a k u - t ia - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
9184	Amondawa	AGOUTI	akotʃi / akutia	akotʃi	a k o tʃ i	a k o - tʃ i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
9485	Tenharim	AGOUTI	akotihu	akotihu	a k o t i + h u	a k o - t i - - - - + - h u	21	143 1650	AGOUTI BIG	cutia1	Carib loan in Proto-Mawé-Aweti-TG
9811	Jiahoi	AGOUTI	akotihu	akotihu	a k o t i + h u	a k o t i + - h u	21	143 1650	AGOUTI BIG	cutia1	Carib loan in Proto-Mawé-Aweti-TG
9950	Urueuwauwau	AGOUTI	akutia	akutia	a k u t ia	a k u - t ia - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
10300	Kayabi	AGOUTI	akutia	akutia	a k u t ia	a k u - t ia - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
10533	Arawete	AGOUTI	akuti	akuti	a k u t i	a k u - t i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
10901	Guaja	AGOUTI	akʷiʃi	akʷiʃi	a kʷ i ʃ i	a kʷ i - ʃ i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
11247	Teko	AGOUTI	akusi	akusi	a k u s i	a k u - s i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
11618	Wayampi	AGOUTI	akusi	akusi	a k u s i	a k u - s i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
12022	Zoe	AGOUTI	kusi	kusi	k u s i	- k u - s i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
12264	Kaapor	AGOUTI	akuʃi	akuʃi	a k u ʃ i	a k u - ʃ i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
12579	Anambe	AGOUTI	kararuhu	kararuhu	k a r a r + u h u	k a r a r + u h u	4249	11878 1650	PACA BIG	cutia	
12854	Kamajura	AGOUTI	akutsi	akutsi	a k u ts i	a k u - ts i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
13131	Asurini_Xingu	AGOUTI	merĩ	merĩ	m e r ĩ	m e r ĩ	900	89	AGOUTI	cutia3	Borrowing from a member of the Mundurukú family
13395	Ava_Canoeiro	AGOUTI	akuti	akuti	a k u t i	a k u - t i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
13613	Tupinamba	AGOUTI	akuti	akuti	a k u t i	a k u - t i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
14019	Nheengatu	AGOUTI	akuti	akuti	a k u t i	a k u - t i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
14878	Guarayo	AGOUTI	akutʃi	akutʃi	a k u tʃ i	a k u - tʃ i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
15185	Siriono	AGOUTI	itajku	itajku	i t ai k u	i t ai k u	23	145	AGOUTI	cutia5	
15513	Warazu	AGOUTI	akutsɨ	akutsɨ	a k u ts ɨ	a k u - ts ɨ - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
15758	Chiriguano	AGOUTI	akúti	akúti	a k ú t i	a k ú - t i - - - -	21	143	AGOUTI	cutia1	Carib loan in Proto-Mawé-Aweti-TG
16027	Jora	AGOUTI	kuʃi	kuʃi	k u ʃ i	- k u - ʃ i - - - -	21	143	AGOUTI	cutia	Carib loan in Proto-Mawé-Aweti-TG
