cc_alias	cc_id	language	lexeme	lexeme_id	status	comments 1	comments 2	comments 3	concept
animal-F	849	Friulian	animâl, nemâl	26165					animal
animal-F	849	Irish_B	AINMHIDH	8653					animal
animal-F	849	Italian	ani'male	8847					animal
animal-F	849	Ladin	ANIMAL, ARMAINT	9428					animal
animal-F	849	Latin	animal	20337					animal
animal-F	849	Old_Irish	anmandae	28133	LOAN	Latin			animal
animal-F	849	Portuguese_ST	ɐniˈmaɫ	12752					animal
animal-F	849	Provencal	ANIMAU	12952					animal
animal-F	849	Romansh	animal	26372					animal
animal-F	849	Rumanian_List	animal	13350					animal
animal-F	849	Sardinian_C	ANIMALI	13941					animal
animal-F	849	Sardinian_N	ANIMALE	14340					animal
animal-F	849	Scots_Gaelic	ainmhidh	23895	LOAN	Latin			animal
animal-F	849	Spanish	ani'mal	15911					animal
animal-F	849	Welsh_N	ANIFAIL	18440	LOAN	Latin			animal
animal-I	1410	Cornish	be:st	19584	LOAN	Latin			animal
animal-I	1410	Flemish	BEEST	23471	LOAN	French			animal
animal-I	1410	Frisian	BISTEGUD	6304	LOAN	French			animal
animal-I	1410	Latin	bestia	23506	EXCLUDE				animal
animal-I	1410	Walloon	BIESSE	17848					animal
animal-M	2429	Breton_ST	lo.ɛ̃n	23478					animal
ashes-A	178	Afrikaans	AS	204					ashes
ashes-A	178	Danish	ˈasg̥ʰə	4717					ashes
ashes-A	178	Dutch_List	ɑs	4917					ashes
ashes-A	178	English	æʃɪz	5116					ashes
ashes-A	178	Faroese	øska	5316					ashes
ashes-A	178	Flemish	ASCH	5513					ashes
ashes-A	178	Frisian	ˈjɪskə	6305					ashes
ashes-A	178	German	'aʃə	6496					ashes
snow-B	303	Provencal	nɛw	13094					snow
ashes-A	178	Gothic	azgō	19916					ashes
ashes-A	178	Icelandic_ST	ˈaska	8260					ashes
ashes-A	178	Luxembourgish	Äschen	24249					ashes
ashes-A	178	Norwegian	aske	13153					ashes
ashes-A	178	Old_English	asce	21322					ashes
ashes-A	178	Old_High_German	asca	27879					ashes
ashes-A	178	Old_Norse	aska	21564					ashes
ashes-A	178	Schwyzerdutsch	äsche	29008					ashes
ashes-A	178	Swedish	'aska	23485					ashes
ashes-E	850	Catalan	'sɛndrə	3932					ashes
ashes-E	850	French	sɑ̃dʀ	5710					ashes
ashes-E	850	Friulian	cinise	26166					ashes
ashes-E	850	Italian	'tʃenere	8848					ashes
ashes-E	850	Ladin	TSCHENDRA	9429					ashes
ashes-E	850	Latin	cinis	20338					ashes
ashes-E	850	Portuguese_ST	ˈsĩzɐʃ	12753					ashes
ashes-E	850	Provencal	CENDRE	12953					ashes
ashes-E	850	Romansh	tschendra	26373					ashes
ashes-E	850	Rumanian_List	cenușă	13351					ashes
ashes-E	850	Sardinian_C	CINIZU	13942					ashes
ashes-E	850	Sardinian_N	KISINAS	14341					ashes
ashes-E	850	Spanish	θe'niθas	15912					ashes
ashes-E	850	Walloon	CINDE	17849					ashes
ashes-F	968	Breton_ST	'ly:dy	2952					ashes
ashes-F	968	Cornish	lusow	19585					ashes
ashes-F	968	Irish_B	LUAITH	8654					ashes
ashes-F	968	Old_Irish	lúaith	28134					ashes
ashes-F	968	Scots_Gaelic	luath	24030					ashes
ashes-F	968	Welsh_N	LLUDW	18441					ashes
ashes-H	1448	Swedish	stɔft	16112					ashes
at-J	2535	Breton_ST	e, ẽn	2953					at
at-J	2535	Portuguese_ST	ɐ̃j	12754					at
at-J	2535	Welsh_N	YN	18442					at
at-I	2534	Frisian	op	6306					at
at-I	2534	Luxembourgish	op	24287					at
at-N	2538	Old_High_German	zi	27880					at
at-R	2542	Catalan	a	3933					at
at-R	2542	English	æt	5117					at
at-R	2542	Faroese	A	25193					at
at-R	2542	French	a	5711					at
at-R	2542	Friulian	a	26167					at
at-R	2542	Gothic	at	19917					at
at-R	2542	Irish_B	ɛɟ	8655					at
at-R	2542	Italian	a, ad	8849					at
at-R	2542	Ladin	A, AD, ADA	9430					at
at-R	2542	Latin	ad	20339					at
at-R	2542	Old_English	æt	21323					at
at-R	2542	Old_High_German	az	27881					at
at-R	2542	Old_Norse	at	21566					at
at-R	2542	Provencal	A	12954					at
at-R	2542	Romansh	a	26374					at
at-R	2542	Rumanian_List	la	13352					at
at-R	2542	Sardinian_C	A	13943					at
at-R	2542	Sardinian_N	A	14342					at
at-R	2542	Scots_Gaelic	ek	24067					at
at-R	2542	Spanish	a	15913					at
at-R	2542	Walloon	A	17850					at
at-S	2543	Portuguese_ST	a	25190					at
at-T	2544	Flemish	AEN	25196					at
at-T	2544	German	an	6497					at
at-T	2544	Luxembourgish	an	24284					at
at-T	2544	Luxembourgish	dran	24286					at
at-T	2544	Schwyzerdutsch	a	29009					at
at-U	2545	Danish	veð	4718					at
at-U	2545	Faroese	VID, I	5317					at
at-U	2545	Icelandic_ST	VIO	8261					at
at-U	2545	Norwegian	VED	13154					at
at-U	2545	Old_Norse	við	21565					at
at-U	2545	Swedish	viːd	16113					at
at-V	2546	Afrikaans	TE	205					at
at-V	2546	Dutch_List	tə	4918					at
at-V	2546	Flemish	TE	5514					at
at-W	2547	Cornish	ort	19586					at
at-W	2547	Welsh_N	WRTH	25197					at
back-B	180	Danish	b̥ɛj	4719					back
back-B	180	English	bæk	5118					back
back-B	180	Faroese	BAK	5318					back
back-B	180	Icelandic_ST	paːk	8262					back
back-B	180	Old_English	bæc	21325					back
back-B	180	Old_Norse	bak	21568					back
back-C	2186	Catalan	əs'paʎʎə	3934					back
back-C	2186	Rumanian_List	spate	23490					back
back-C	2186	Spanish	es'palda	15914					back
back-E	2550	Gothic	nōt-a*	19919					back
back-F	2551	Catalan	əs'kɛnə	23497	LOAN	?			back
back-F	2551	Friulian	schene	26168	LOAN	?			back
back-F	2551	Provencal	ESQUINO	23498	LOAN	?			back
back-H	851	French	do	5712					back
back-H	851	Italian	'dɔsso	8850			SS	auch: dorso	back
back-H	851	Ladin	DOSS	23489					back
back-H	851	Latin	dorsum	20341	EXCLUDE				back
back-H	851	Portuguese_ST	dorso	12755					back
back-H	851	Provencal	DOS	12955					back
back-H	851	Romansh	dies	26375					back
back-H	851	Rumanian_List	DOS	13353					back
back-H	851	Spanish	DORSO	23496					back
back-I	969	Breton_ST	kɛjn	2954					back
back-I	969	Cornish	cein	19587					back
back-I	969	Welsh_N	CEFN	23488					back
back-N	1683	Irish_B	d̪ˠɾˠɪmʲ	8656					back
back-N	1683	Old_Irish	druimm	28137					back
back-N	1683	Scots_Gaelic	druim	23942					back
back-R	2183	Afrikaans	RUG	206					back
back-R	2183	Dutch_List	rʏχ	4919					back
back-R	2183	Faroese	RYGGUR	23492					back
back-R	2183	Flemish	RUG	5515					back
back-R	2183	Frisian	rɛːx	6307					back
back-R	2183	German	'rijkn̩	6498					back
back-R	2183	Luxembourgish	Réck	24166					back
back-R	2183	Norwegian	RYGG	13155					back
back-R	2183	Old_English	hrycg	21324					back
back-R	2183	Old_High_German	rucki	27882					back
back-R	2183	Old_Norse	hryggr	21567					back
back-R	2183	Schwyzerdutsch	rügge	29010					back
back-R	2183	Swedish	rʏg	16114					back
back-S	2552	Ladin	RAIN	9431	LOAN	?			back
back-S	2552	Walloon	RIN	17851	LOAN	?	SS	woher? P.m.: ital. reni (sizilanisch rini) = Flanken, Rücken < <  ren pl. Nieren	back
bad-Aa	3192	Irish_B	d̪ˠoːn̪ˠə	26936					bad
bad-Aa	3192	Scots_Gaelic	d̪̊ɔnə	24051					bad
bad-B	181	Afrikaans	SLEG	207					bad
bad-B	181	Dutch_List	slɛχt	4920					bad
bad-B	181	Flemish	SLECHT	5516					bad
bad-B	181	German	ʃlɛçt	6499					bad
bad-B	181	Luxembourgish	schlecht	24267					bad
bad-B	181	Schwyzerdutsch	schlächt	29011					bad
bad-D	852	Catalan	mal	3935					bad
bad-D	852	French	mɔvɛ	5713					bad
bad-D	852	Ladin	MEL	9432					bad
bad-D	852	Latin	ˈmalus	20342					bad
bad-D	852	Portuguese_ST	maw	12756					bad
bad-D	852	Romansh	mal	26376					bad
bad-D	852	Sardinian_C	MALU	13944					bad
bad-D	852	Sardinian_N	MALU	14343					bad
bad-D	852	Spanish	'malo	15915					bad
bad-D	852	Walloon	MAL	17852					bad
bad-E	970	Breton_ST	fal	2955					bad
bad-H	1304	Frisian	bar	6308					bad
bad-J	1684	Irish_B	OLC	8657					bad
bad-J	1684	Old_Irish	olc	28138					bad
bad-J	1684	Scots_Gaelic	olc	24052					bad
bad-M	2038	Norwegian	DARLIG	13156					bad
bad-M	2038	Swedish	ˈdoː.lɪ(ɡ)	16115					bad
bad-O	2137	Cornish	dro:g	19588					bad
bad-O	2137	Welsh_N	DRWG	18444					bad
bad-Q	2191	Danish	ɔn	4720					bad
bad-Q	2191	Icelandic_ST	VONDUR	25203					bad
bad-Q	2191	Old_Norse	vándr	21570					bad
bad-Q	2191	Swedish	und	23515					bad
bad-R	2192	Faroese	ILLUR	5319					bad
bad-R	2192	Icelandic_ST	ILLUR	23529					bad
bad-R	2192	Icelandic_ST	LELEGUR	8263					bad
bad-R	2192	Old_Norse	illr	21569					bad
bad-T	2194	Cornish	bad	19589	LOAN	English			bad
bad-T	2194	English	bæd	5119					bad
bad-U	2195	Gothic	ubils	19920					bad
bad-U	2195	Old_English	yfel	21326					bad
bad-U	2195	Old_High_German	ubil	27883					bad
bad-V	2196	Italian	kat'tivo	8851			SS	< captivus diaboli	bad
bad-V	2196	Provencal	caitiu	23520					bad
bark-B	182	Afrikaans	BOOMSKORS	25068					bark
bark-B	182	Catalan	əs'kɔrsə	3936					bark
bark-B	182	Dutch_List	sχɔrs	4921					bark
bark-B	182	French	ekɔʀs	5714					bark
bark-B	182	Friulian	scuarce, scusse	26170					bark
bark-B	182	Italian	kor'tettʃa	26574			SS	< lat. corticea <  cortex	bark
bark-B	182	Italian	'skɔrdza	8852			SS	< lat. scortea <  scortum	bark
bark-B	182	Ladin	SCORZA	9433					bark
bark-B	182	Latin	cortex	20343					bark
bark-B	182	Portuguese_ST	ˈkaʃkɐ	26784					bark
bark-B	182	Portuguese_ST	CORTICA	12757					bark
bark-B	182	Romansh	scorsa	26377					bark
bark-B	182	Rumanian_List	scoarță	13355					bark
bark-B	182	Sardinian_C	KROZU	13945					bark
bark-B	182	Sardinian_N	ISKORTHA	14344					bark
bark-B	182	Spanish	koɾ'teθa	15916					bark
bark-F	971	Breton_ST	rysk	2956					bark
bark-F	971	Cornish	rusk	19590					bark
bark-F	971	Old_Irish	rúsc	29471					bark
bark-F	971	Provencal	RUSCO	23531	LOAN	?			bark
bark-F	971	Scots_Gaelic	rùsg	23910					bark
bark-F	971	Welsh_N	RHISGL	18445					bark
bark-G	1305	Danish	b̥ɑːg̥ʰ	4721					bark
bark-G	1305	English	bɑ:k	5120	LOAN	Norse			bark
bark-G	1305	Faroese	ˈbœʃkʊr	5320					bark
bark-G	1305	German	'bɔrkə	23532					bark
bark-G	1305	Icelandic_ST	BORKUR	8264					bark
bark-G	1305	Norwegian	bark	13157					bark
bark-G	1305	Old_Norse	borkr	21571					bark
bark-G	1305	Swedish	bark	16116					bark
bark-H	2465	Afrikaans	BAS	208					bark
bark-H	2465	Flemish	BAST	5517					bark
bark-H	2465	Frisian	bɔst, bast	6309					bark
bark-I	1411	Walloon	PELOTE	17853					bark
bark-J	1438	German	'rɪndə	6500					bark
bark-J	1438	Old_English	rinde	21327					bark
bark-J	1438	Old_High_German	rinta	27884					bark
bark-J	1438	Schwyzerdutsch	rinde	29012					bark
bark-M	1685	Irish_B	COIRT	8658					bark
bark-Z	4017	Friulian	croste	31641					bark
bark-Z	4017	Romansh	crusta	31591					bark
because-A	183	Afrikaans	DOORDAT	25208					because
because-A	183	Afrikaans	OMDAT	209					because
because-A	183	Danish	fʌˈd̥i	4722					because
because-A	183	Dutch_List	ɔm'dɑt	4922					because
because-A	183	Flemish	OMDAT	25207					because
because-A	183	Frisian	OMDET	6310					because
because-A	183	Frisian	TROCHDET	25206					because
because-A	183	Norwegian	FORDI	13158					because
because-A	183	Swedish	DARFOR ATT	25223					because
because-Aa	2560	Cornish	rag	19592					because
because-Al	4080	Old_Irish	úare	28140					because
because-Al	4080	Scots_Gaelic	ˈɔir	24074					because
because-Am	4081	Irish_B	mar go	32241					because
because-F	1107	Catalan	pər'kɛ	3937					because
because-F	1107	French	paʀs(ə) k(ə)	5715					because
because-F	1107	Friulian	parcè, parcè che	26171					because
because-F	1107	Italian	per'ke	8853			SS	Unterschied zu Eintrag sub because-H? Etc.; ital. Che, laut Treccani < lat. 1. quia, quod …, 2. quid	because
because-F	1107	Ladin	CAUSA CHA	9434					because
because-F	1107	Ladin	PERVI CHA	25212					because
because-F	1107	Latin	quod	20344			SS	auch quid, quia etc.?	because
because-F	1107	Portuguese_ST	ˈpuɾkɨ	12758					because
because-F	1107	Provencal	PER-CO-QUE	12958					because
because-F	1107	Romansh	perquai che	26378					because
because-F	1107	Rumanian_List	FIINDCA	13356					because
because-F	1107	Sardinian_N	PROKE	14345					because
because-F	1107	Spanish	'poɾke	15917					because
because-F	1107	Walloon	PACE QUI	17854					because
because-H	1279	Catalan	pər'kɛ	3937					because
because-H	1279	Danish	fʌˈd̥i	4722					because
because-H	1279	French	paʀs(ə) k(ə)	5715					because
because-H	1279	Friulian	parcè, parcè che	26171					because
because-H	1279	Italian	per'ke	8853					because
because-H	1279	Ladin	PERVI CHA	25212					because
because-H	1279	Norwegian	FORDI	13158					because
because-H	1279	Old_English	forþȳ þe	21328					because
because-H	1279	Portuguese_ST	ˈpuɾkɨ	12758					because
because-H	1279	Provencal	PER-CO-QUE	12958					because
because-H	1279	Romansh	perquai che	26378					because
because-H	1279	Sardinian_N	PROKE	14345					because
because-H	1279	Spanish	'poɾke	15917					because
because-H	1279	Swedish	DARFOR ATT	25223					because
because-H	1279	Walloon	PACE QUI	17854					because
because-K	1341	English	bɪkɒz	5121	LOAN	French			because
because-K	1341	Ladin	CAUSA CHA	9434					because
because-L	1366	Faroese	tʊiː	5321					because
because-L	1366	Icelandic_ST	AF THVI AO	8265					because
because-M	1439	German	va‿il	6501					because
because-M	1439	Luxembourgish	well	24293					because
because-M	1439	Schwyzerdutsch	wüu	29013					because
because-T	2065	Sardinian_C	POITA	13946					because
because-U	2558	Afrikaans	OMDAT	209					because
because-U	2558	Dutch_List	ɔm'dɑt	4922					because
because-U	2558	Flemish	OMDAT	25207					because
because-U	2558	Frisian	OMREDENEN	25209					because
because-U	2558	Frisian	OMDET	6310					because
because-W	2100	Swedish	e'me:dan	16117					because
because-Y	2557	Afrikaans	WANT	25211					because
because-Y	2557	Flemish	WANT	5518					because
because-Z	2559	Afrikaans	DOORDAT	25208					because
because-Z	2559	Afrikaans	OOR	25210					because
because-Z	2559	Cornish	drefenn	19591					because
because-Z	2559	Frisian	TROCHDET	25206					because
belly-B	184	Afrikaans	BUIK	23541					belly
belly-B	184	Danish	b̥u	4723					belly
belly-B	184	Dutch_List	bœyk	4923					belly
belly-B	184	English	bɛlɪ	5122					belly
belly-B	184	Faroese	BUKUR	5322					belly
belly-B	184	Flemish	BUIK	5519					belly
belly-B	184	Frisian	buk	6311					belly
belly-B	184	German	ba‿ux	6502					belly
belly-B	184	Luxembourgish	Bauch	24163					belly
belly-B	184	Norwegian	buk	29465					belly
belly-B	184	Old_High_German	būh	27887					belly
belly-B	184	Schwyzerdutsch	buuch	29014					belly
belly-B	184	Swedish	bʉ:k	16118					belly
belly-E	854	Catalan	'bentrə	3938					belly
belly-E	854	French	vɑ̃tʀ	5716					belly
belly-E	854	Friulian	vintri	31642					belly
belly-E	854	Gothic	wamba	19924					belly
belly-E	854	Italian	'vɛntre	8854					belly
belly-E	854	Ladin	VAINTER	9435					belly
belly-E	854	Latin	venter	20346					belly
belly-E	854	Old_English	wamb	21329					belly
belly-E	854	Old_High_German	wanba	27886					belly
belly-E	854	Old_Norse	vo̜mb	21575					belly
belly-E	854	Portuguese_ST	ˈvẽtɾɨ	12759					belly
belly-E	854	Provencal	VENTRE	12959					belly
belly-E	854	Romansh	venter	26379					belly
belly-E	854	Sardinian_C	BRENTI	13947					belly
belly-E	854	Sardinian_N	ENTRE	14346					belly
belly-E	854	Spanish	VIENTRE	15918					belly
belly-E	854	Walloon	VINTE	17855					belly
belly-F	973	Breton_ST	ko:f	2958					belly
belly-N	2199	Icelandic_ST	MAGI	8266					belly
belly-N	2199	Norwegian	MAVE	13159					belly
belly-N	2199	Old_Norse	magi	21573					belly
belly-N	2199	Swedish	MAGE	23542					belly
belly-O	2200	Gothic	qiþus	23545					belly
belly-O	2200	Old_Norse	kviðr	21574					belly
belly-U	3167	Catalan	'panʃə, 'pantʃa	26999					belly
belly-U	3167	Friulian	panze	26172					belly
belly-U	3167	Provencal	PANSO	26575					belly
belly-U	3167	Romansh	panza	31593					belly
belly-U	3167	Rumanian_List	PINTEC(E)	13357					belly
belly-X	3404	Cornish	torr	19593					belly
belly-X	3404	Old_Irish	tarr / tair	29472					belly
big-A	185	Afrikaans	GROOT	211					big
big-A	185	Dutch_List	ɣrot	4924					big
big-A	185	Flemish	GROOT	5520					big
big-A	185	Frisian	GREAT	6312					big
big-A	185	German	gro:s	6503					big
big-A	185	Luxembourgish	grouss	24103					big
big-A	185	Old_High_German	grōz	28993					big
big-A	185	Schwyzerdutsch	gross	29015					big
big-A	185	Swedish	gru:v	16119					big
big-B	360	Faroese	MIKILL	23548					big
big-B	360	Gothic	mikils	19925					big
big-B	360	Latin	ˈmaŋnus	20347			SS	wie gehört das hierher? D.i. zu mikils etc. Blosse Wurzeletymologie! → macht wenig Sinn ==> «big-?»	big
big-B	360	Old_English	micel	21330					big
big-B	360	Old_High_German	mihhil	27888					big
big-B	360	Old_Norse	mikill	21577					big
big-B	360	Sardinian_C	MANNU	13948			SS	wie gehört das hierher? D.i. zu mikils etc. Blosse Wurzeletymologie! → macht wenig Sinn ==> «big-?»	big
big-B	360	Sardinian_N	MANNU	14347			SS	wie gehört das hierher? D.i. zu mikils etc. Blosse Wurzeletymologie! → macht wenig Sinn ==> «big-?»	big
big-D	855	Catalan	gran	3939					big
big-D	855	French	gʀɑ̃	5717					big
big-D	855	Friulian	grant	26173					big
big-D	855	Italian	'grande	8855					big
big-D	855	Ladin	GRAND	9436					big
big-D	855	Latin	ˈɡrandis	20348	EXCLUDE				big
big-D	855	Portuguese_ST	ˈɡɾɐ̃ðɨ	12760					big
big-D	855	Provencal	GROS	12960					big
big-D	855	Romansh	grond	26380					big
big-D	855	Spanish	'ɡɾande	15919					big
big-D	855	Walloon	GRAND	17856					big
big-G	1342	English	bɪg	5123	LOAN	Norse			big
big-I	1686	Breton_ST	møʁ	26907					big
big-I	1686	Irish_B	mˠɔːr	8660					big
big-I	1686	Old_Irish	mór	28142					big
big-I	1686	Scots_Gaelic	moːɾ	23870					big
big-I	1686	Welsh_N	MAWR	18448					big
big-N	2041	Rumanian_List	'mare	13358					big
big-O	2203	Danish	ˈsd̥ʰoɐ̯	4724					big
big-O	2203	Faroese	ˈstɔurʊr	5323					big
big-O	2203	Icelandic_ST	stouːr	8267					big
big-O	2203	Norwegian	stor	13160					big
big-O	2203	Old_Norse	stórr	21576					big
bird-B	186	Afrikaans	VOEL	212					bird
bird-B	186	Danish	ful	4725					bird
bird-B	186	Dutch_List	'voɣəl	4925					bird
bird-B	186	Faroese	FUGLUR	5324					bird
bird-B	186	Flemish	VOGEL	5521					bird
bird-B	186	Frisian	fu(:)gəl	6313					bird
bird-B	186	German	'fo:gl̩	6504					bird
bird-B	186	Gothic	fugls	19926					bird
bird-B	186	Icelandic_ST	fʏkl	8268					bird
bird-B	186	Luxembourgish	Vull	24122					bird
bird-B	186	Norwegian	FUGL	13161					bird
bird-B	186	Old_English	fugol	21331					bird
bird-B	186	Old_High_German	fugal	27889					bird
bird-B	186	Old_Norse	fugl	21578					bird
bird-B	186	Schwyzerdutsch	fogu	29016					bird
bird-B	186	Swedish	'fo:gəl	16120					bird
bird-F	856	Catalan	u'seʎ	3940					bird
bird-F	856	French	wazo	5718					bird
bird-F	856	Friulian	uciel	26174					bird
bird-F	856	Italian	ut'tʃɛllo	8856					bird
bird-F	856	Ladin	UTSCHE	9437					bird
bird-F	856	Latin	ˈawis	20349					bird
bird-F	856	Portuguese_ST	ˈavɨ	12761					bird
bird-F	856	Provencal	awˈsɛl	12961					bird
bird-F	856	Romansh	utschals, utschi	26381					bird
bird-F	856	Spanish	AVE	15920					bird
bird-F	856	Walloon	OUHE	17857					bird
bird-G	974	Breton_ST	'ẽwn	2960					bird
bird-G	974	Cornish	edhen	19596					bird
bird-G	974	Irish_B	eːnˠ	8661					bird
bird-G	974	Old_Irish	én	28143					bird
bird-G	974	Rumanian_List	pasăre	13359					bird
bird-G	974	Scots_Gaelic	eun	23897					bird
bird-G	974	Spanish	'paxaɾo	27231					bird
bird-G	974	Welsh_N	ADERYN, EDN	18449					bird
bird-H	1109	Sardinian_C	PILLONI	13949					bird
bird-H	1109	Sardinian_N	PUTHTHONE	14348					bird
bird-L	2205	Breton_ST	'la:bus	23564					bird
bite-A	1456	Breton_ST	'dãntã	23574					bite
bite-A	1456	Cornish	densel	19597					bite
bite-A	1456	Cornish	deintio	19598					bite
bite-A	1456	Cornish	danta	19599					bite
bite-B	187	Afrikaans	BYT	213					bite
bite-B	187	Danish	ˈb̥iːðə	4726					bite
bite-B	187	Dutch_List	'bɛitə(n)	4926					bite
bite-B	187	English	baɪt	5125					bite
bite-B	187	Faroese	BITA	5325					bite
bite-B	187	Flemish	BYTEN	5522					bite
bite-B	187	Frisian	bitət	6314					bite
bite-B	187	German	'ba‿isn̩	6505					bite
bite-B	187	Gothic	beitiþ	19927					bite
bite-B	187	Icelandic_ST	ˈpiːta	8269					bite
bite-B	187	Luxembourgish	bäissen	24172					bite
bite-B	187	Norwegian	BITE	13162					bite
bite-B	187	Old_English	bītt	21332					bite
bite-B	187	Old_High_German	bīzit	27890					bite
bite-B	187	Old_Norse	bíta	21579					bite
bite-B	187	Schwyzerdutsch	biisse	29017					bite
bite-B	187	Swedish	'bi:ta	16121					bite
bite-G	857	French	mɔʀdʀ	5719					bite
bite-G	857	Friulian	muardi	26175					bite
bite-G	857	Italian	'mɔrdere	8857					bite
bite-G	857	Ladin	MORDER	9438					bite
bite-G	857	Latin	mordēre	20350					bite
bite-G	857	Portuguese_ST	muɾˈdeɾ	12762					bite
bite-G	857	Provencal	MORDRE	12962					bite
bite-G	857	Romansh	morder	26382					bite
bite-G	857	Spanish	moɾ'ðeɾ	15921					bite
bite-H	975	Breton_ST	'krɛ:gĩn	2961					bite
bite-J	1220	Cornish	cnoi	19600					bite
bite-J	1220	Irish_B	COGNAIM	8662					bite
bite-J	1220	Old_Irish	cnaïd	29474					bite
bite-K	1257	Catalan	musəˈɣa	3941					bite
bite-K	1257	Rumanian_List	a muʃˈka	13360					bite
bite-K	1257	Sardinian_C	MUSSIAI	13950					bite
bite-K	1257	Sardinian_N	MOSSIKRARE	14349					bite
black-B	188	Afrikaans	SWART	214					black
